'L眶内缘点', 'L眶外缘点', 'L眶下缘点', 'L眶上中点', 'L下颌角点', 'L下犬齿齿槽缘点', 'L第一上磨牙点', 'L第一下磨牙点', 'L尖牙窝点', 'L下颌支中部后点', 'L颧点', 'L颞额颧点', 'L第二上磨牙点', 'L第二下磨牙点', 'L下颌缘中点', 'L颏孔点', 'L上切牙点', 'L上犬齿齿槽缘点', 'L下颌小舌点', 'L颧弓点', 'L颧眶点', 'L下鼻根点', 'L鼻甲嵴点', 'L颧颌点', 'R眶内缘点', 'R眶外缘点', 'R眶下缘点', 'R眶上中点', 'R下颌角点', 'R下犬齿齿槽缘点', 'R第一上磨牙点', 'R第一下磨牙点', 'R尖牙窝点', 'R下颌支中部后点', 'R颧点', 'R颞额颧点', 'R第二上磨牙点', 'R第二下磨牙点', 'R下颌缘中点', 'R颏孔点', 'R上切牙点', 'R上犬齿齿槽缘点', 'R下颌小舌点', 'R颧弓点', 'R颧眶点', 'R下鼻根点', 'R鼻甲嵴点', 'R颧颌点', '鼻骨末端点', '下齿槽点', '鼻中点', '上齿槽前缘点', '眉间点', '鼻棘下点', '鼻根点',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.41,-147.87,38.68,141.1,-138.555,38.87,122.85,-147.27,21.71,122.43,-148.585,55.795,143.305,-89.1,-29.77,108.615,-150.565,-41.25,124.59,-131.595,-16.26,122.84,-129.635,-33.215,111.82,-148.08,-2.615,145.96,-88.07,-7.25,150.655,-124.575,23.64,143.91,-135.12,46.45,125.985,-123.505,-11.81,126.1,-121.43,-26.95,125.56,-123.755,-53.56,118.32,-135.785,-48.405,98.995,-161.925,-24.6,113.69,-152.615,-15.715,144.425,-97.135,-10.525,159.2,-96.87,20.005,141.28,-139.955,19.965,101.645,-150.31,43.925,102.22,-158.105,19.58,140.26,-134.89,1.875,85.775,-148.76,38.47,49.3,-139.095,38.555,67.65,-148.36,21.505,67.575,-149.16,55.445,49.485,-90.22,-33.68,79.255,-149.66,-41.045,66.215,-132.2,-12.39,67.425,-131.555,-32.475,78.74,-150.35,-1.22,45.85,-88.335,-8.725,39.705,-124.025,24.45,46.735,-136.86,47.72,64.26,-123.92,-10.33,62.98,-121.265,-27.24,65.295,-124.93,-54.61,71.75,-135.475,-50.385,90.98,-161.175,-24.39,76.765,-154.075,-15.4,46.96,-97.28,-9.945,32.29,-99.515,20.885,49.305,-141.11,21.11,90.23,-151.475,43.705,87.885,-159.475,20.63,50.385,-133.615,1.925,95.4,-163.425,27.07,95.95,-154.465,-40.175,95.365,-154.965,36.365,94.835,-158.59,-18.695,95.75,-153.75,62.145,94.76,-155.835,-8.13,95.825,-151.765,47.14
99.87,-128.98,46.37,139.535,-121.405,46.715,119.79,-132.645,27.615,119.56,-130.215,65.64,143.61,-69.255,-25.98,103.635,-133.335,-30.16,117.655,-113.77,-9.575,116.765,-112.035,-21.85,105.88,-132.25,5.005,140.92,-70.005,-2.31,148.225,-106.905,31.26,142.025,-119.86,57.935,118.99,-105.06,-6.16,119.575,-102.6,-17.96,125.25,-108.355,-44.68,113.955,-122.75,-39.97,93.755,-142.64,-17.735,107.99,-134.985,-8.98,140.145,-77.21,-4.71,154.825,-85.74,25.815,139.465,-126.565,25.855,94.865,-133.05,52.965,96.95,-141.065,27.84,137.865,-120.275,7.565,78.665,-128.465,47.595,38.435,-120.925,47.125,58.63,-132.575,28.46,58.38,-129.9,66.125,35.02,-70.795,-27.77,76.475,-133.96,-30.44,60.3,-114.36,-9.8,62.6,-113.27,-22.295,72,-131.96,4.46,38.41,-69.61,-3.135,30.745,-107.31,32.845,36.195,-117.365,57.455,58.975,-105.175,-7.205,60.18,-103.95,-18.73,57.235,-109.91,-48.015,66.1,-122.36,-39.95,84.98,-142.81,-17.845,70.87,-135.455,-9.265,39.32,-76.175,-6.05,23.93,-82.975,27.735,38.44,-125.89,27.78,83.795,-132.04,53.435,81.655,-140.97,29.04,39.7,-120.05,9.695,89.57,-147.18,34.14,90.19,-137.385,-28.55,89.63,-139.08,44.43,89.33,-141.325,-11.81,90.065,-135.15,68.125,89.115,-137.62,1.085,90.11,-134.985,56.285
98.29,-143.08,41.295,137.445,-134.245,41.58,118.22,-143.315,23.33,117.885,-145.61,59.785,140.805,-77.71,-34.9,101.5,-144.785,-36.845,116.92,-128.46,-14.085,117.435,-123.68,-30.34,102.145,-143.535,-4.03,139.315,-77.05,-11.115,148.875,-116.935,28.82,141.56,-129.56,49.615,119.58,-119.14,-10.815,120.15,-114.4,-27.195,124.155,-118.975,-50.435,113.555,-130.72,-46.385,91.615,-156.57,-23.875,105.275,-148.37,-14.82,138.13,-89.895,-11.305,155.705,-92.345,18.01,136.605,-136.55,18.76,93.035,-148.18,48.015,96.385,-153.45,20.445,136.355,-127.21,1.045,76.32,-143.835,41.965,37.205,-134.905,41.56,57,-144.905,23.58,56.375,-146.12,60.585,34.07,-79.145,-39.36,72.58,-143.545,-39.73,56.64,-129.745,-15.575,55.675,-122.065,-32.07,69.535,-142.23,-5.03,33.555,-79.25,-12.07,26.55,-118.31,28.05,34.17,-130.12,50.305,54.255,-120.84,-12.705,52.89,-113.39,-28.19,51.38,-118.935,-53.91,60.82,-129.495,-48.165,82.83,-156.295,-23.65,68.345,-147.115,-15.74,34.335,-89.38,-12.405,18.025,-92.99,19.15,37.215,-138.15,19.01,80.42,-147.65,48.535,78.935,-153.92,19.985,36.91,-128.905,1.585,87.97,-160.425,23.86,87.26,-148.04,-35.715,87.15,-151.995,37.4,86.94,-153.26,-18.095,87.435,-152.7,63.175,87.595,-149.74,-6.685,87.325,-150.2,51.745
107.76,-138.215,32.945,145.05,-125.81,33.53,126.79,-135.175,14.4,126.275,-137.535,52.03,145.77,-79.135,-46.735,111.105,-137.57,-45.53,125.73,-118.73,-24.1,124.12,-117.175,-38.995,113.195,-136.08,-12.365,148.09,-74.09,-20.59,153.9,-110.915,18.47,148.24,-120.98,43.435,127.23,-111.185,-20.94,127.805,-107.47,-34.875,127.01,-114.22,-67.16,121.685,-125.065,-55.97,101.31,-150.13,-32.175,115.29,-139.39,-24.475,148.17,-80.315,-21.145,162.715,-80.425,11.53,145.455,-127.535,11.425,103.545,-142.28,39.33,106.16,-149.505,10.225,145.29,-118.69,-7.635,87.435,-137.95,32.85,49.98,-126.485,32.695,68.81,-136.92,14.085,68.605,-138.395,51.39,46.89,-78.695,-45.03,83.235,-138.475,-44.845,69.44,-119.815,-22.575,69.805,-117.465,-37.94,82.19,-136.53,-11.665,44.39,-74.06,-19.195,40.7,-111.765,19.795,45.925,-121.405,42.225,67.215,-111.71,-19.58,65.53,-107.895,-33.775,64.435,-115.12,-64.545,71.22,-125.915,-54.85,92.965,-150.2,-31.575,79.545,-140.005,-23.9,44.805,-81.435,-18.88,29.37,-79.835,10.995,49.92,-129.1,10.98,91.825,-142.12,39.375,89.72,-149.195,10.825,49.605,-120.675,-6.235,98.36,-156.87,14.85,97.395,-142.435,-42.76,98.44,-148.545,28.165,97.59,-146.725,-26.965,98.19,-145.53,54.77,97.615,-143.785,-17.625,98.085,-145,42.56
102.88,-143.365,36.86,139.225,-138.285,37.015,120.955,-144.92,18.32,120.795,-146.705,55.71,140.895,-83.535,-36.735,102.555,-147.165,-44.6,121.215,-129.28,-22.24,117.04,-126.995,-37.385,108.36,-146.045,-12.675,143.645,-81.61,-10.76,147.88,-124.23,23.535,142.145,-135.14,44.79,122.885,-120.91,-20.08,120.955,-118.48,-33.645,122.165,-119.45,-60.49,112.805,-133.07,-54.64,95.175,-158.845,-33,110.465,-149.865,-24.455,142.145,-93.285,-15.585,156.875,-92.545,17.135,139.16,-140.035,17.33,96.6,-149.16,42.42,98.795,-156.125,13.31,139.075,-133.73,0.095,80.99,-145.17,36.81,43.525,-138.385,36.875,62.51,-145.97,18.065,62.16,-146.97,55.61,44.24,-84.12,-38.63,76.21,-146.515,-45.02,61.67,-129.095,-22.095,64.115,-127.15,-35.7,75.2,-145.925,-12.79,41.995,-81.64,-13.745,35.525,-125.195,23.18,39.875,-133.94,42.955,60.08,-120.395,-19.21,61.845,-117.865,-32.535,59.345,-119.21,-61.845,65.175,-131.18,-52.935,86.135,-158.315,-32.66,72.15,-150.175,-22.495,43.505,-91.895,-15.805,26.555,-93.635,13.425,43.365,-140.56,13.27,86.525,-149.375,42.455,82.615,-156.28,13.46,43.985,-132.715,-1.015,90.89,-163.825,18.615,89.495,-151.565,-43.57,91.19,-154.03,31.345,91,-156.62,-26.11,91.8,-153.725,59.02,91.285,-154.085,-15.165,91.675,-151.08,45.735
103.845,-145.075,43.645,140.965,-139.36,43.725,122.7,-148.545,26.98,122.505,-149.725,61.2,134.34,-86.58,-31.685,110.17,-150.8,-37.86,124.065,-130.63,-10.05,122.955,-130.11,-29.805,111.445,-148.645,-4.32,140.26,-87.715,-7.06,150.65,-126.825,32.625,143.675,-136.25,53.88,124.7,-121.1,-7.96,125.99,-120.915,-25.145,125.185,-124.205,-54.36,119.9,-133.06,-48.71,100.115,-162.385,-23.07,113.67,-152.815,-13.04,141.495,-96.61,-7.025,156.83,-106.975,26.07,141.015,-143.505,26.94,99.29,-150.43,50.17,101.67,-159.875,23.17,144.655,-136.535,12.095,80.3,-145.585,44.47,43.62,-137.73,43.95,62.13,-148.565,26.54,61.545,-148.48,62.195,49.43,-86.28,-31.21,79.565,-151.17,-38.01,63.365,-132.56,-11.59,66.105,-131.725,-30.505,77.815,-150.23,-5.565,43.08,-86.6,-6.81,34.78,-126.13,31.025,41.75,-134.03,54.19,61.835,-122.71,-8.985,62.075,-121.82,-26.145,63.755,-124.865,-55.43,69.415,-132.995,-49.05,90.3,-162.475,-23.805,75.68,-153.565,-13.63,42.235,-97.34,-8.005,27.19,-105.125,25.21,43.6,-141.93,25.755,85.295,-150.2,50.955,83.995,-160.05,23.44,41.315,-136.205,10.905,92.69,-162.3,30.86,95.58,-154.285,-36.855,92.655,-153.595,42.95,94.725,-160.93,-17.4,92.62,-154.77,65.515,93.98,-155.48,-1.935,92.63,-153.135,55.235
99.22,-135.845,29.775,138.645,-125.43,30.045,119.05,-133.94,10.455,118.51,-135.585,49.43,137.85,-78.045,-47.855,105.445,-140.895,-45.09,118.94,-119.9,-24.265,118.305,-119.485,-40.59,106.735,-135.97,-13.65,142.035,-76.575,-21.845,147.79,-112.47,13.805,141.61,-121.06,37.445,120.7,-111.71,-21.185,122.705,-110.255,-37.24,122.335,-117.59,-65.765,114.72,-129.745,-58.64,94.91,-149.37,-32.05,109.82,-140.62,-25.195,141.935,-85.925,-22.63,157.25,-88.415,8.41,138.7,-125.715,8.68,94.02,-140.285,36.515,97.345,-147.23,11.34,137.625,-122.41,-6.335,79.43,-135.625,29.91,40.335,-125.32,29.78,60.09,-134.23,9.98,59.825,-136.215,49.49,43.505,-79.115,-46.895,74.83,-141.23,-45.69,61.805,-120.895,-24.67,62.6,-121.105,-40.01,73.785,-137.165,-13.35,39.895,-76.015,-23.315,32.17,-111.19,12.05,37.405,-121.68,35.415,59.44,-112.99,-21.765,57.98,-111.16,-37.9,57.785,-119.64,-65.03,66.575,-131.89,-58.035,85.795,-149.37,-32.07,70.685,-141.405,-25.255,39.84,-84.825,-22.535,23.625,-86.795,5.395,40.7,-125.585,6.045,85.145,-139.795,36.92,81.74,-147.085,11.19,42.93,-122.83,-7.155,89.59,-153.49,18.635,90.18,-145.21,-44.35,89.545,-144.92,27.895,90.35,-147.78,-26.825,89.83,-141.655,50.815,90.37,-144.5,-14.415,89.865,-141.655,38.33
99.39,-147.355,24.925,142.29,-137.765,25.13,120.775,-147.425,9.11,120.81,-150.585,40.995,140.14,-85.175,-51.675,105.045,-148.535,-58.615,121.235,-127.875,-31.675,119.59,-126.49,-50.905,105.715,-145.23,-24.295,142.88,-81.12,-27.67,151.305,-123.365,9.825,144.325,-136.015,35.865,124.005,-119.4,-29.57,122.87,-116.33,-48.645,121.98,-123.6,-75.935,113.125,-136.94,-65.94,92.965,-155.9,-41.71,108.22,-147.57,-32.405,142.505,-88.265,-26.255,160.08,-91.99,3.41,142.445,-138.565,3.39,95.025,-153.705,32.87,98.055,-156.955,0.775,140.45,-129.095,-15.925,79.28,-146.935,25.29,37.11,-137.37,25.145,58.215,-147.09,9.06,58.18,-150.32,41.795,39.735,-84.67,-52.03,78.255,-148.74,-58.14,57.38,-129.26,-31.445,61.03,-127.175,-51.17,72.45,-144.71,-23.83,35.84,-80.61,-25.765,28.43,-123.465,11.525,35.94,-135.415,38.105,54.805,-123.18,-29.025,57.92,-118.555,-48.275,57.67,-124.185,-73.57,65.6,-135.215,-66.37,84.79,-155.295,-41.525,70.03,-147.84,-32.78,36.25,-88.085,-24.445,18.44,-91.47,4.635,37.41,-140.105,4.735,84.565,-153.03,32.965,81.845,-157.715,1.375,37.615,-128.71,-15.665,90.19,-163.27,5.06,90.995,-151.385,-55.34,90.1,-155.19,19.07,89.105,-153.16,-35.86,90.19,-159.98,47.37,89.505,-151.51,-26.98,90.015,-155.26,34.14
102.44,-125.965,31.75,139.36,-118.4,32.09,121.23,-126.77,14.975,120.77,-127.025,48.675,144.83,-72.7,-40.075,107.37,-131.18,-44.68,121.145,-115.375,-19.435,122.305,-111.82,-37.7,106.7,-129.77,-8.49,146.355,-71.525,-16.84,148.39,-107.325,19.395,141.73,-114.055,39.92,123.69,-107.985,-16.86,127.545,-102.515,-34.02,128.205,-109.99,-57.275,118.425,-120.09,-52.715,95.26,-142.63,-29.625,108.75,-134.03,-20.12,145.22,-79.585,-16.125,158.555,-82.795,12.24,139.55,-120.44,11.93,98.045,-128.825,37.315,100.645,-137.425,12.8,139.715,-117.18,-0.1,81.395,-124.31,33.18,44.965,-116.725,32.44,63.455,-126.05,15.81,62.8,-125.37,49.79,44.005,-70.63,-41.78,78.95,-131.41,-44.93,63.09,-114.515,-19.52,63.09,-111.46,-37.235,76.62,-129.5,-8.015,41.005,-68.54,-17.575,36.46,-105.94,18.71,42.055,-111.105,40.61,60.65,-107.69,-16.88,58.97,-102.535,-33.93,58.76,-109.75,-59.135,67.715,-119.975,-53.915,87.885,-142.7,-29.52,74.745,-133.56,-20.465,40.775,-78.155,-18.69,27.835,-84.42,12.86,45.25,-120.135,13.395,86.11,-128.225,38.09,83.12,-137.465,13.85,44.025,-115.615,-1.165,92.125,-143.175,16.645,92.81,-134.28,-43.66,92.205,-134.845,28.015,91.405,-138.99,-22.655,92.485,-131.13,51.86,92.25,-135.72,-11.93,92.385,-130.18,40.39
84.695,-117.785,115.4,123.825,-108.36,115.24,103.945,-117.025,96.67,104.1,-119.025,134.01,126.105,-61.845,40.87,91.325,-122.855,32.76,106.835,-102.195,62.6,105.87,-104.24,40.415,90.415,-119.095,66.375,130.02,-58.88,63.835,130.22,-98.275,103.8,124.555,-108.06,127.975,108.155,-92.48,65.665,110.04,-94.26,43.18,110.555,-99.06,21.79,98.325,-111.085,23.97,80.95,-132.33,51.295,93.11,-122.34,60.685,128.185,-67.795,62.485,141.455,-68.52,95.91,123.395,-108.93,96.13,81.05,-120.925,123.06,83.9,-129.455,95.285,120.02,-105.84,80.635,66.14,-117.745,115.465,28.015,-107.465,115.55,47.11,-116.455,96.87,46.98,-117.43,134.975,27.515,-60.655,39.69,60.785,-124.07,32.34,45.075,-104.83,60.08,46.52,-104.56,38.7,60.27,-118.77,66.745,21.815,-58.9,62.445,21.005,-96.34,102.8,26.23,-107.705,129.68,42.105,-95.795,62.755,42.415,-94.525,42.445,40.49,-97.875,21.26,52.39,-110.765,21.775,72.47,-132.44,50.975,58.58,-123.665,58.555,22.98,-64.88,61.485,11.2,-67.89,96.015,28.265,-108.82,96.04,69.635,-121.605,122.83,67.18,-129.675,95.08,31.765,-103.795,78.945,75.315,-136.78,101.37,75.65,-127.205,34.485,75.325,-127.06,113.6,76.01,-129.275,57.385,75.025,-124.065,137.015,74.935,-124.615,68.01,75.24,-123.695,126.435
